Rank,State,"Average SAT Score, Adjusted","Average New SAT Score, Adjusted",Raw Average SAT Score,Participation Rate
1,Massachusetts,1694,1130,1556,84%
2,Connecticut,1690,1126,1525,88%
3,Minnesota,1660,1107,1786,6%
4,New Jersey,1655,1104,1526,79%
5,Illinois,1652,1101,1802,5%
6,New Hampshire,1651,1101,1566,70%
7,North Dakota,1649,1099,1816,2%
8,Virginia,1648,1099,1530,73%
9,South Dakota,1648,1099,1792,3%
10,Iowa,1648,1098,1794,3%
11,Wisconsin,1644,1096,1782,4%
12,Vermont,1640,1093,1554,63%
13,Colorado,1635,1090,1735,14%
14,Missouri,1633,1089,1771,4%
15,Michigan,1628,1086,1784,4%
16,Kansas,1621,1081,1753,5%
17,Georgia,1620,1080,1445,77%
18,Indiana,1612,1075,1474,71%
19,Florida,1609,1073,1448,72%
20,Nebraska,1604,1070,1745,4%
21,Wyoming,1600,1067,1762,3%
22,Kentucky,1596,1064,1746,5%
23,New York,1593,1062,1468,76%
24,North Carolina,1592,1062,1483,64%
25,Oregon,1587,1058,1544,48%
26,Maryland,1586,1057,1468,78%
27,Washington,1585,1057,1519,63%
28,Idaho,1585,1056,1364,100%
29,South Carolina,1584,1056,1443,65%
30,Hawaii,1584,1056,1460,63%
31,Tennessee,1581,1054,1714,8%
32,California,1579,1053,1504,60%
33,Ohio,1577,1051,1652,15%
34,Arizona,1568,1045,1547,36%
35,Pennsylvania,1567,1044,1481,71%
36,Oklahoma,1565,1043,1697,5%
37,Rhode Island,1563,1042,1480,73%
38,Montana,1558,1039,1637,18%
39,Alaska,1555,1037,1485,54%
40,Mississippi,1552,1035,1714,3%
41,Arkansas,1551,1034,1698,4%
42,Utah,1540,1027,1690,5%
43,Texas,1539,1026,1432,62%
44,Nevada,1526,1017,1458,54%
45,New Mexico,1524,1016,1617,12%
46,Delaware,1522,1015,1359,100%
47,District of Columbia,1518,1012,1309,100%
48,Louisiana,1517,1011,1667,5%
49,Maine,1511,1008,1387,96%
50,Alabama,1496,998,1617,7%
51,West Virginia,1444,963,1522,15%
